State,Population Ranking,Population
California,1,"38,332,521"
Texas,2,"26,448,193"
New York,3,"19,651,127"
Florida,4,"19,552,860"
Illinois,5,"12,882,135"
Pennsylvania,6,"12,773,801"
Ohio,7,"11,570,808"
Georgia,8,"9,992,167"
Michigan,9,"9,895,622"
North Carolina,10,"9,848,060"
New Jersey,11,"8,899,339"
Virginia,12,"8,260,405"
Washington,13,"6,971,406"
Massachusetts,14,"6,692,824"
Arizona,15,"6,626,624"
Indiana,16,"6,570,902"
Tennessee,17,"6,495,978"
Missouri,18,"6,044,171"
Maryland,19,"5,928,814"
Wisconsin,20,"5,742,713"
Minnesota,21,"5,420,380"
Colorado,22,"5,268,367"
Alabama,23,"4,833,722"
South Carolina,24,"4,774,839"
Louisiana,25,"4,625,470"
Kentucky,26,"4,395,295"
Oregon,27,"3,930,065"
Oklahoma,28,"3,850,568"
Connecticut,29,"3,596,080"
Iowa,30,"3,090,416"
Mississippi,31,"2,991,207"
Arkansas,32,"2,959,373"
Utah,33,"2,900,872"
Kansas,34,"2,893,957"
Nevada,35,"2,790,136"
New Mexico,36,"2,085,287"
Nebraska,37,"1,868,516"
West Virginia,38,"1,854,304"
Idaho,39,"1,612,136"
Hawaii,40,"1,404,054"
Maine,41,"1,328,302"
New Hampshire,42,"1,323,459"
Rhode Island,43,"1,051,511"
Montana,44,"1,015,165"
Delaware,45,"925,749"
South Dakota,46,"844,877"
Alaska,47,"735,132"
North Dakota,48,"723,393"
Vermont,50,"626,630"
Wyoming,51,"582,658"
